ID,Week,Show Name,Theatre,Gross,Potential Gross,Gross Diff,Avg Ticket Price,Top Ticket Price,Seats Sold,Seats in the Theatre,Performances,Previews,Capacity,Capacity Diff,Month,Season
20190042,01/13/19,Choir Boy,Samuel J. Friedman Theatre,261675.5,603123,22202,53.77,249,4867,637,8,0,0.96,0,1,Winter
20190043,01/13/19,Come From Away,Gerald Schoenfeld Theatre,1009516,1154784,-47838.9,118.25,297,8537,1046,8,0,1.02,0,1,Winter
20190044,01/13/19,Dear Evan Hansen,Music Box Theatre,1318615.15,1352224,-136636.75,165.18,448,7983,984,8,0,1.01,0,1,Winter
20190045,01/13/19,Frozen,St. James Theatre,1327335.4,1326583,-348518.1,105.13,299.5,12626,1684,8,0,0.94,-0.06,1,Winter
20190046,01/13/19,Hamilton,Richard Rodgers Theatre,3157730,2993608,-186531,293.66,849,10753,1321,8,0,1.02,0,1,Winter
20190047,01/13/19,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,2053032.5,1988464,-198755.5,158.22,296.5,12976,1622,8,0,1,0,1,Winter
20190048,01/13/19,King Kong,Broadway Theatre,755706,1596930,-44246.08,82.59,347,9150,1738,8,0,0.66,0,1,Winter
20190049,01/13/19,Kinky Boots,Al Hirschfeld Theatre,583966.8,1294256,-176299.95,85.2,249,6854,1424,8,0,0.6,-0.1,1,Winter
20190050,01/13/19,Mean Girls,August Wilson Theatre,1248296.2,1328576,-195787.55,127.43,299.5,9796,1225,8,0,1,-0.01,1,Winter
20190051,01/13/19,Mike Birbiglia's The New One,Cort Theatre,467914.5,982794,114453,78.25,223,5980,1073,8,0,0.7,0.1,1,Winter
20190052,01/13/19,My Fair Lady,Vivian Beaumont Theater,902100.5,1396120,-135905.5,123.74,323,7290,1069,8,0,0.85,-0.07,1,Winter
20190053,01/13/19,Network,Belasco Theatre,1026007.76,954335,-170992,145.47,473,7053,1015,7,0,0.99,0,1,Winter
20190054,01/13/19,Pretty Woman: The Musical,Nederlander Theatre,824366.3,1365328,-116137.9,108.27,275,7614,1168,8,0,0.81,-0.06,1,Winter
20190055,01/13/19,School of Rock - The Musical,Winter Garden Theatre,735675.6,1443688,-321928,81.77,273,8997,1523,8,0,0.74,-0.18,1,Winter
20190056,01/13/19,The Band's Visit,Ethel Barrymore Theatre,550626.6,1024568,15841.6,70.67,247,7791,1039,8,0,0.94,0.12,1,Winter
20190057,01/13/19,The Book of Mormon,Eugene O'Neill Theatre,1137486.5,1190502,-95374.5,132,477.5,8617,1047,8,0,1.03,-0.01,1,Winter
20190058,01/13/19,The Cher Show,Neil Simon Theatre,1134381.8,1491200,38754.9,111.32,247,10190,1380,8,0,0.92,-0.01,1,Winter
20190059,01/13/19,The Ferryman,Bernard B. Jacobs Theatre,874585.7,994184,93338.48,116.3,297,7520,1019,8,0,0.92,0.01,1,Winter
20190060,01/13/19,The Lifespan of a Fact,Studio 54,1000817.1,1079264,98295.1,125.73,247,7960,1004,8,0,0.99,0.03,1,Winter
20190061,01/13/19,The Lion King,Minskoff Theatre,1848667,1951705,-619602,141.67,225,13049,1696,8,0,0.96,-0.03,1,Winter
20190062,01/13/19,The Phantom of the Opera,Majestic Theatre,705017.98,1347562,-503946.82,84.08,213,8385,1605,8,0,0.65,-0.19,1,Winter
20190063,01/13/19,The Prom,Longacre Theatre,623622.6,1102800,5805.15,87.46,247,7130,1045,8,0,0.85,0,1,Winter
20190064,01/13/19,The Waverly Gallery,John Golden Theatre,440853.57,756832,95667.57,72.5,273,6081,787,8,0,0.97,0.08,1,Winter
20190065,01/13/19,To Kill A Mockingbird,Sam S. Shubert Theatre,1536166.56,1386070,-49083.72,131.62,497,11671,1435,8,0,1.02,0,1,Winter
20190066,01/13/19,True West,American Airlines Theatre,423166.3,775280,5160.8,79.35,350,5333,740,0,8,0.9,-0.04,1,Winter
20190067,01/13/19,Waitress,Brooks Atkinson Theatre,972519.8,1019480,433047.8,125.93,270,7723,1045,8,0,0.92,0.26,1,Winter
20190068,01/13/19,Wicked,Gershwin Theatre,1403103,1779845,-637153,107.03,240,13109,1807,8,0,0.91,-0.07,1,Winter
20190069,01/20/19,Aladdin,New Amsterdam Theatre,1203770.6,1422546,16004.1,95.43,227.5,12614,1727,8,0,0.91,-0.03,1,Winter
20190070,01/20/19,American Son,Booth Theatre,738615.95,888864,83941.4,119.58,248,6177,774,8,0,1,0.08,1,Winter
20190071,01/20/19,Anastasia,Broadhurst Theatre,664184,1105421,18456.3,86.4,297,7687,1143,8,0,0.84,0.04,1,Winter
20190072,01/20/19,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,670658.4,1106908,66006.9,91.78,247,7307,1026,8,0,0.89,0.04,1,Winter
